Room,Stream,Performer,Link
61357800899892100,61357796240663700,53849093989999100,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61357796240663770/hls/61357796240663770-53849093989999127r1470880484.m3u8
61357800899892100,61357796240663700,53849093989999100,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61357796240663770/hls/61357796240663770-53849093989999127r1470880528.m3u8
61357800899892100,61357796240663700,53849093989999100,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61357796240663770/hls/61357796240663770-53849093989999127r1470880759.m3u8
61357800899892100,61357796240663700,53849093989999100,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61357796240663770/hls/61357796240663770-53849093989999127r1470880840.m3u8
61357800899892100,61357796240663700,53849093989999100,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61357796240663770/hls/61357796240663770-53849093989999127r1470880950.m3u8
61358103380522000,61358102536000700,52865298207877100,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61358102536000734/hls/61358102536000734-52865298207877120r1470879857.m3u8
61361036136436600,61361035652633400,53782875536890400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61361035652633419/hls/61361035652633419-53782875536890474r1470881256.m3u8
61365992396575700,61365991449306300,31045571313558700,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61365991449306355/hls/61365991449306355-31045571313558736r1470883619.m3u8
61367180137493600,61367101253753500,49849826646436100,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61367101253753550/hls/61367101253753550-49849826646436159r1470884148.m3u8
61367781913154500,61367767105811100,52868343920602700,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61367767105811129/hls/61367767105811129-52868343920602753r1470884466.m3u8
61367781913154500,61367767105811100,52868343920602700,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61367767105811129/hls/61367767105811129-52868343920602753r1470886762.m3u8
61367781913154500,61367767105811100,52868343920602700,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61367767105811129/hls/61367767105811129-52868343920602753r1470887016.m3u8
61367781913154500,61367767105811100,52868343920602700,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61367767105811129/hls/61367767105811129-52868343920602753r1470887291.m3u8
61367781913154500,61367767105811100,52868343920602700,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61367767105811129/hls/61367767105811129-52868343920602753r1470887539.m3u8
61369534148670500,61369533958468800,53458398139660300,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61369533958468877/hls/61369533958468877-53458398139660380r1470885308.m3u8
61369994655986800,61369993960365300,31045571313558700,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61369993960365314/hls/61369993960365314-31045571313558736r1470885528.m3u8
61370359042434400,61370353101838600,35552146497689300,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61370353101838624/hls/61370353101838624-35552146497689326r1470885699.m3u8
61370838692554100,61370837762061000,36390648764417300,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61370837762061000/hls/61370837762061000-36390648764417356r1470885930.m3u8
61372506209408000,61372502097531700,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61372502097531779/hls/61372502097531779-53568543410625422r1470886724.m3u8
61372506209408000,61372502097531700,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61372502097531779/hls/61372502097531779-53568543410625422r1470886731.m3u8
61372506209408000,61372502097531700,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61372502097531779/hls/61372502097531779-53568543410625422r1470886738.m3u8
61372506209408000,61372502097531700,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61372502097531779/hls/61372502097531779-53568543410625422r1470886964.m3u8
61372506209408000,61372502097531700,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61372502097531779/hls/61372502097531779-53568543410625422r1470888358.m3u8
61372506209408000,61372502097531700,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61372502097531779/hls/61372502097531779-53568543410625422r1470888774.m3u8
61372506209408000,61372502097531700,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61372502097531779/hls/61372502097531779-53568543410625422r1470891193.m3u8
61372506209408000,61372502097531700,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61372502097531779/hls/61372502097531779-53568543410625422r1470891198.m3u8
61372623167575100,61372622044144900,53387635432892200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61372622044144925/hls/61372622044144925-53387635432892295r1470886781.m3u8
61372798705488900,61372794656535800,48337346409533100,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61372794656535834/hls/61372794656535834-48337346409533126r1470886867.m3u8
61372798705488900,61372794656535800,48337346409533100,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61372794656535834/hls/61372794656535834-48337346409533126r1470891298.m3u8
61372817049277500,61372811637166900,32951597816271600,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61372811637166984/hls/61372811637166984-32951597816271694r1470886871.m3u8
61373026024187200,61373013701964500,50163229720061900,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61373013701964501/hls/61373013701964501-50163229720061981r1470886968.m3u8
61373026024187200,61373013701964500,50163229720061900,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61373013701964501/hls/61373013701964501-50163229720061981r1470889865.m3u8
