Group_ID,Video_Index,Room,Session,Performer,Video_Name
1091,1,62310807175107300,62310796748657900,49625608551934400,62310796748657915-49625608551934473r1471334137.m3u8.mp4
1092,1,62313768888509700,62313766901007800,52868343920602700,62313766901007877-52868343920602753r1471335554.m3u8.mp4
1092,2,62313768888509700,62313766901007800,52868343920602700,62313766901007877-52868343920602753r1471335559.m3u8.mp4
1093,1,62314607753504000,62314596066670600,52052212664243900,62314596066670603-52052212664243901r1471335949.m3u8.mp4
1093,2,62314607753504000,62314596066670600,52052212664243900,62314596066670603-52052212664243901r1471337485.m3u8.mp4
1094,1,62315119469077800,62315118916016100,51055977402738200,62315118916016135-51055977402738228r1471336198.m3u8.mp4
1095,1,62316116000056600,62316115692360200,51663525071820900,62316115692360212-51663525071820946r1471336674.m3u8.mp4
1096,1,62316414728868600,62316414020630000,31045571313558700,62316414020630037-31045571313558736r1471336816.m3u8.mp4
1097,1,62316611232015700,62316583644566000,54173263735042100,62316583644566038-54173263735042125r1471336897.m3u8.mp4
1098,1,62318542235054500,62318541914785200,51663525071820900,62318541914785288-51663525071820946r1471337831.m3u8.mp4
1099,1,62319337391206900,62319337121265100,28483468358675900,62319337121265162-28483468358675900r1471338210.m3u8.mp4
1100,1,62320568192935300,62320554067117500,52728225823993300,62320554067117586-52728225823993345r1471338790.m3u8.mp4
1100,2,62320568192935300,62320554067117500,52728225823993300,62320554067117586-52728225823993345r1471339039.m3u8.mp4
1101,1,62320622903436600,62320604946108900,51396800136877800,62320604946108945-51396800136877892r1471338824.m3u8.mp4
1101,2,62320622903436600,62320604946108900,51396800136877800,62320604946108945-51396800136877892r1471339794.m3u8.mp4
1101,3,62320622903436600,62320604946108900,51396800136877800,62320604946108945-51396800136877892r1471340713.m3u8.mp4
1101,4,62320622903436600,62320604946108900,51396800136877800,62320604946108945-51396800136877892r1471342811.m3u8.mp4
1101,5,62320622903436600,62320604946108900,51396800136877800,62320604946108945-51396800136877892r1471344178.m3u8.mp4
1101,6,62320622903436600,62320604946108900,51396800136877800,62320604946108945-51396800136877892r1471344306.m3u8.mp4
1102,1,62320992362902000,62320992019564000,47682196185552100,62320992019564052-47682196185552116r1471338999.m3u8.mp4
1103,1,62326454246385100,62326454039354400,53825700762756800,62326454039354422-53825700762756884r1471341603.m3u8.mp4
1104,1,62327008253121400,62327002090185700,35552146497689300,62327002090185768-35552146497689326r1471341865.m3u8.mp4
1105,1,62329527354205600,62329492105868800,42714514719771000,62329492105868878-42714514719771059r1471343052.m3u8.mp4
1106,1,62329935076201400,62329934705594900,52683441243695100,62329934705594955-52683441243695171r1471343263.m3u8.mp4
1107,1,62330155352663500,62330136474688000,53255704229715400,62330136474688091-53255704229715473r1471343359.m3u8.mp4
1107,2,62330155352663500,62330136474688000,53255704229715400,62330136474688091-53255704229715473r1471345517.m3u8.mp4
1107,3,62330155352663500,62330136474688000,53255704229715400,62330136474688091-53255704229715473r1471347402.m3u8.mp4
1108,1,62330749316441600,62330737044504600,54173263735042100,62330737044504670-54173263735042125r1471343646.m3u8.mp4
1108,2,62330749316441600,62330737044504600,54173263735042100,62330737044504670-54173263735042125r1471344438.m3u8.mp4
